forma_incorrecta,forma_correcta
abis,BIS
abis,BIS
almacen,ALM
ap,AP
aparrtamento,AP
apartamento,AP
apartamento0,AP
apartamentos,AP
apartameto,AP
apartartamento,AP
apt,AP
apto,AP
autopista,AU
av,AV
avda,AV
avdas,AV
avds,AV
avenida,AV
avenidas,AV
barrio,BO
barro,BO
bloq,BLQ
bloque,BLQ
bodega,BDGA
carera,KR
carre,KR
carrera,KR
carreras,KR
carretera,CT
calle,CL
calles,CL
callejon,CLJ
casa,CA
ciudadela,CDLA
conj,CONJ
conjunto,CONJ
consultorio,CS
consultorios,CS
correg,COR
corregimiento,COR
cr,KR
cra,KR
cras,KR
departamento,AP
depos,DP
deposi,DP
deposito,DP
diag,DG
diagonal,DG
dificio,ED
direccion,DIR
dpto,AP
edf,ED
edicio,ED
edif,ED
edificacion,ED
edificiio,ED
edificio,ED
edificios,ED
edifiio,ED
eptapa,ET
esificio,ED
esq,ESQ
esquina,ESQ
et,ET
etapa,ET
etapa1,ET
etpa,ET
garage,GA
garaje,GA
hacienda,HDA
kra,KR
krabi,KR
kras,KR
ks,KR
lc,LC
local,LC
locales,LC
lote,LT
manzana,MZ
manzanag,MZ
modulo,MD
norte,NORTE
norti,NORTE
nte,NORTE
numero,#
oddicental,OESTE
oeste,OESTE
oficina,OF
oficinas,OF
oriental,ESTE
oriente,ESTE
parc,PA
parcela,PA
parcelacion,PA
parcelaciones,PA
parq,PRQ
parque,PRQ
parquea,PQ
parquead,PQ
parqueadero,PQ
parquedero,PQ
parqueo,PQ
penthouse,PNH
ph,PH
piso,P
pisos,P
pizo,P
planta,PL
plantas,PL
plaza,PLZA
porteria,POR
predio,PD
residencial,RES
residencias,RES
sector,SEC
semisotano,SS
sotano,SO
suites,ST
sur,SUR
suroriental,SUR
terraza,TZ
torre,TO
torrea01,TO
torres,TO
transv,TV
transversa,TV
transversal,TV
troncal,TC
tv,TV
unidad,UN
urb,URB
urbana,URB
urbaniz,URB
urbanizacion,URB
urbano,URB
urbnizacion,URB
vi,V
via,V
vias,V
zna,ZN
zona,ZN
habitacion,HB
oddicental,OESTE
urbcauquita,URB
urbhorizontes,URB
urbcauquita,URB
urbhorizontes,URB
propieda,PH
propiedad,PH
carrera,KR
calle,CL
avenida,AV
torre,TO
apartamento,AP
transversal,TV
diagonal,DG
aveni,AV
aveni,AV
